Latitude;Longitude;State;City;Street;HouseNumber;PostCode
44.8077000;-68.7606618;ME;Bangor;Maple Street;50;04401
44.8161447;-68.7567062;ME;Bangor;Yale Street;50;04401
44.8006036;-68.7725893;ME;Bangor;Columbia Street;52;04401
44.8085546;-68.7582809;ME;Bangor;Fern Street;52;04401
44.8141376;-68.7744458;ME;Bangor;Grant Street;52;04401
44.8005745;-68.7715652;ME;Bangor;Main Street;52;04401
44.8078666;-68.7607054;ME;Bangor;Maple Street;52;04401
44.8022650;-68.7774193;ME;Bangor;Ohio Street;52;04401
44.7932690;-68.7783072;ME;Bangor;Walter Street;52;04401
44.7985339;-68.7944204;ME;Bangor;West Street;52;04401
44.8038487;-68.7817124;ME;Bangor;Charles Street;54;04401
44.8005541;-68.7726148;ME;Bangor;Columbia Street;54;04401
44.8069227;-68.7635103;ME;Bangor;Forest Avenue;54;04401
44.8081352;-68.7732173;ME;Bangor;Market Street;54;04401
44.8023371;-68.7774569;ME;Bangor;Ohio Street;54;04401
44.7998229;-68.7671365;ME;Bangor;Washington Street;54;04401
44.7985565;-68.7944835;ME;Bangor;West Street;54;04401
44.8038127;-68.7817379;ME;Bangor;Charles Street;56;04401
44.8053628;-68.7826425;ME;Bangor;Highland Avenue;58;04401
44.8004666;-68.7716226;ME;Bangor;Main Street;58;04401
44.8043006;-68.7580331;ME;Bangor;Merrimac Street;58;04401
44.8140199;-68.7673955;ME;Bangor;Stillwater Avenue;58;04401
44.7975177;-68.7758381;ME;Bangor;Cedar Street;60;04401
44.8004261;-68.7716480;ME;Bangor;Main Street;60;04401
44.7960977;-68.7724932;ME;Bangor;Summer Street;60;04401
44.8069171;-68.7718311;ME;Bangor;Cumberland Street;62;04401
44.8004082;-68.7716607;ME;Bangor;Main Street;62;04401
44.7985753;-68.7780340;ME;Bangor;Third Street;62;04401
44.7976663;-68.7758628;ME;Bangor;Cedar Street;64;04401
44.8056238;-68.7711027;ME;Bangor;Center Street;64;04401
44.8028282;-68.7754193;ME;Bangor;Court Street;64;04401
44.8003812;-68.7716672;ME;Bangor;Main Street;64;04401
44.8245444;-68.7986667;ME;Bangor;Valley View Lane;64;04401
44.7978868;-68.7758494;ME;Bangor;Cedar Street;66;04401
44.8028870;-68.7755392;ME;Bangor;Court Street;66;04401
44.8090635;-68.7583799;ME;Bangor;Fern Street;66;04401
44.8146870;-68.7745765;ME;Bangor;Grant Street;66;04401
44.8081729;-68.7608053;ME;Bangor;Maple Street;66;04401
44.8091530;-68.7804278;ME;Bangor;Smith Street;66;04401
44.8099802;-68.7729951;ME;Bangor;Jefferson Street;68;04401
44.8003002;-68.7717117;ME;Bangor;Main Street;68;04401
44.8002777;-68.7717181;ME;Bangor;Main Street;70;04401
44.7980766;-68.7762026;ME;Bangor;Cedar Street;72;04401
44.8031604;-68.7704676;ME;Bangor;Harlow Street;72;04401
44.8048176;-68.7823474;ME;Bangor;James Street;72;04401
44.8002508;-68.7717309;ME;Bangor;Main Street;72;04401
44.7989359;-68.7952029;ME;Bangor;West Street;72;04401
44.8030452;-68.7758800;ME;Bangor;Court Street;74;04401
44.8000484;-68.7718202;ME;Bangor;Main Street;74;04401
44.7838057;-68.7843982;ME;Bangor;Thatcher Street;74;04401
44.7982384;-68.7783894;ME;Bangor;Third Street;74;04401
44.8099830;-68.7568775;ME;Bangor;Fruit Street;76;04401
44.8085151;-68.7608861;ME;Bangor;Maple Street;76;04401
44.7855607;-68.7841326;ME;Bangor;Farm Road;78;04401
44.8033997;-68.7708017;ME;Bangor;Harlow Street;78;04401
44.8029754;-68.7680089;ME;Bangor;State Street;78;04401
44.8071071;-68.7591532;ME;Bangor;Birch Street;80;04401
44.8029999;-68.7712143;ME;Bangor;Central Street;78;04401
44.7909714;-68.7796118;ME;Bangor;Lincoln Street;80;04401
44.8082372;-68.7571631;ME;Bangor;Pearl Street;80;04401
44.7924265;-68.7802447;ME;Bangor;Larkin Street;82;04401
44.8197668;-68.7539969;ME;Bangor;Dartmouth Street;84;04401
44.7965180;-68.7755828;ME;Bangor;First Street;84;04401
44.8072646;-68.7655891;ME;Bangor;Grove Street;86;04401
44.8014096;-68.7727568;ME;Bangor;Hammond Street;86;04401
44.8014008;-68.7728770;ME;Bangor;Hammond Street;88;04401
44.8086776;-68.7743975;ME;Bangor;Market Street;88;04401
44.8075394;-68.7592462;ME;Bangor;Birch Street;92;04401
44.8032065;-68.7710111;ME;Bangor;Central Street;92;04401
44.8071615;-68.7702494;ME;Bangor;Cumberland Street;92;04401
44.8193515;-68.7555417;ME;Bangor;Harvard Street;92;04401
44.7912288;-68.7800470;ME;Bangor;Lincoln Street;94;04401
44.8091862;-68.7610730;ME;Bangor;Maple Street;94;04401
44.7972523;-68.7951140;ME;Bangor;Royal Road;94;04401
44.8066327;-68.7714338;ME;Bangor;Center Street;96;04401
44.7981069;-68.7802548;ME;Bangor;Fourth Street;96;04401
44.8075889;-68.7657016;ME;Bangor;Grove Street;96;04401
44.7959284;-68.7802378;ME;Bangor;Parker Street;96;04401
44.8072236;-68.7698129;ME;Bangor;Cumberland Street;98;04401
44.8078772;-68.7593460;ME;Bangor;Birch Street;102;04401
44.7986371;-68.7774396;ME;Bangor;Cedar Street;102;04401
44.8070920;-68.7714953;ME;Bangor;Center Street;104;04401
44.7978553;-68.7804707;ME;Bangor;Fourth Street;104;04401
44.8036969;-68.7664318;ME;Bangor;State Street;108;04401
44.7969406;-68.7944829;ME;Bangor;Royal Road;110;04401
44.8103655;-68.7654374;ME;Bangor;Elm Street;112;04401
44.8097717;-68.7612413;ME;Bangor;Maple Street;112;04401
44.8067584;-68.7646111;ME;Bangor;Somerset Street;114;04401
44.8105366;-68.7654494;ME;Bangor;Elm Street;116;04401
44.7995130;-68.7719298;ME;Bangor;Main Street;116;04401
44.8200947;-68.7557979;ME;Bangor;Harvard Street;118;04401
44.8099203;-68.7612723;ME;Bangor;Maple Street;118;04401
44.7967870;-68.7941611;ME;Bangor;Royal Road;118;04401
44.8164749;-68.7750881;ME;Bangor;Grant Street;122;04401
44.7917126;-68.7811703;ME;Bangor;Lincoln Street;122;04401
44.8100374;-68.7613161;ME;Bangor;Maple Street;122;04401
44.8156096;-68.7655932;ME;Bangor;Stillwater Avenue;124;04401
44.8108699;-68.7655682;ME;Bangor;Elm Street;126;04401
44.8086562;-68.7659755;ME;Bangor;Grove Street;126;04401
44.8101860;-68.7613471;ME;Bangor;Maple Street;126;04401
44.8065643;-68.7687343;ME;Bangor;Broadway;128;04401
44.8103031;-68.7613782;ME;Bangor;Maple Street;128;04401
44.7992158;-68.7787270;ME;Bangor;Cedar Street;130;04401
44.8145014;-68.7763541;ME;Bangor;Leighton Street;130;04401
44.8178230;-68.7543403;ME;Bangor;Yale Street;130;04401
44.8045917;-68.7703924;ME;Bangor;Park Street;134;04401
44.8171640;-68.7752877;ME;Bangor;Grant Street;140;04401
44.7920786;-68.7818959;ME;Bangor;Lincoln Street;140;04401
44.8107174;-68.7614777;ME;Bangor;Maple Street;140;04401
44.8075969;-68.7674340;ME;Bangor;Cumberland Street;142;04401
44.8113608;-68.7656990;ME;Bangor;Elm Street;142;04401
44.8049115;-68.7705239;ME;Bangor;Park Street;144;04401
44.7922278;-68.7822556;ME;Bangor;Lincoln Street;146;04401
44.8044053;-68.7650949;ME;Bangor;State Street;146;04401
44.7960054;-68.7805219;ME;Bangor;Third Street;148;04401
44.8045409;-68.7789026;ME;Bangor;Court Street;150;04401
44.8076366;-68.7670102;ME;Bangor;Cumberland Street;150;04401
44.8116806;-68.7657862;ME;Bangor;Elm Street;150;04401
44.8094939;-68.7661997;ME;Bangor;Grove Street;150;04401
44.8111183;-68.7615962;ME;Bangor;Maple Street;150;04401
44.8044851;-68.7644939;ME;Bangor;State Street;150;04401
44.7959560;-68.7805790;ME;Bangor;Third Street;150;04401
44.7990008;-68.7723870;ME;Bangor;Main Street;152;04401
44.7988928;-68.7724380;ME;Bangor;Main Street;156;04401
44.8120093;-68.7658860;ME;Bangor;Elm Street;160;04401
44.8121894;-68.7659043;ME;Bangor;Elm Street;166;04401
44.8093798;-68.7720996;ME;Bangor;Center Street;172;04401
44.8124822;-68.7660169;ME;Bangor;Elm Street;174;04401
44.8096729;-68.7723829;ME;Bangor;Center Street;180;04401
44.8126309;-68.7660795;ME;Bangor;Elm Street;180;04401
44.7928470;-68.7835997;ME;Bangor;Lincoln Street;180;04401
